Segment,Class,Direction,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S1,Lights,NB,1653.62,1063.55,692.42,774.3,938.06,1841.41,3467.44,4897.67,4812.23,4132.27,4632.45,5070.33,5680.87,6038.65,6756.88,7120.89,6118.75,6770.23,6634.95,6593.12,5950.54,5101.48,4478.48,3199.55
S1,Medium A,NB,204.38,131.45,85.58,95.7,115.94,227.59,428.56,605.33,594.77,510.73,572.55,626.67,702.13,746.35,835.12,880.11,756.25,836.77,820.05,814.88,735.46,630.52,553.52,395.45
S1,Medium B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Heavy A,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Heavy B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Lights,SB,970.99,663.94,562.48,821.47,1828.95,4572.82,7354.07,8159.52,7825.77,6891.27,5870.44,5406.75,5927.4,5744.95,4857.62,6430.25,6275.39,6031.53,5704.9,4362.78,3658.79,3389.12,2827.53,2028.31
S1,Medium A,SB,120.01,82.06,69.52,101.53,226.05,565.18,908.93,1008.48,967.23,851.73,725.56,668.25,732.6,710.05,600.38,794.75,775.61,745.47,705.1,539.22,452.21,418.88,349.47,250.69
S1,Medium B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Heavy A,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Heavy B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Lights,NB,2535.61,1619.8,1201.5,1310.08,1744.4,3085.63,5911.38,6812.95,7273.97,6732.85,7287.32,7569.45,8219.15,8293.91,8272.55,7152.93,7039.9,7427.94,7189.42,7331.82,7786.61,6767.56,6048.44,4534.55
S2,Medium A,NB,313.39,200.2,148.5,161.92,215.6,381.37,730.62,842.05,899.03,832.15,900.68,935.55,1015.85,1025.09,1022.45,884.07,870.1,918.06,888.58,906.18,962.39,836.44,747.56,560.45
S2,Medium B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Heavy A,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Heavy B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Lights,SB,1715.03,1246,1209.51,1408.87,2899.62,6971.37,9534.57,9082.45,8274.33,8461.23,7779.49,7559.66,7032.78,7636.2,5126.4,6866.35,6994.51,7143.14,6900.17,6302.09,5902.48,5117.5,4175.88,2906.74
S2,Medium A,SB,211.97,154,149.49,174.13,358.38,861.63,1178.43,1122.55,1022.67,1045.77,961.51,934.34,869.22,943.8,633.6,848.65,864.49,882.86,852.83,778.91,729.52,632.5,516.12,359.26
S2,Medium B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Heavy A,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Heavy B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Lights,NB,2637.07,1684.77,1249.56,1362.59,1813.82,3209.34,6148.12,7085.29,7565,7002.52,7579.24,7872.05,8547.56,8625.88,8603.63,7438.62,7321.14,7725.2,7476.89,7625.52,8098.11,7038.12,6290.52,4716.11
S3,Medium A,NB,325.93,208.23,154.44,168.41,224.18,396.66,759.88,875.71,935,865.48,936.76,972.95,1056.44,1066.12,1063.37,919.38,904.86,954.8,924.11,942.48,1000.89,869.88,777.48,582.89
S3,Medium B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Heavy A,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Heavy B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Lights,SB,1783.56,1295.84,1257.57,1464.94,3015.32,7249.94,9916.38,9445.57,8605.41,8799.43,8090.99,7862.26,7314.02,7941.47,5331.1,7141.36,7273.97,7428.83,7176.07,6553.96,6138.33,5322.2,4343.2,3023.33
S3,Medium A,SB,220.44,160.16,155.43,181.06,372.68,896.06,1225.62,1167.43,1063.59,1087.57,1000.01,971.74,903.98,981.53,658.9,882.64,899.03,918.17,886.93,810.04,758.67,657.8,536.8,373.67
S3,Medium B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Heavy A,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Heavy B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,Lights,NB,2434.15,1554.83,1153.44,1257.57,1674.98,2961.92,5674.64,6540.61,6982.94,6463.18,6995.4,7266.85,7890.74,7961.94,7941.47,6867.24,6758.66,7130.68,6901.95,7038.12,7475.11,6497,5806.36,4352.99
S4,Medium A,NB,300.85,192.17,142.56,155.43,207.02,366.08,701.36,808.39,863.06,798.82,864.6,898.15,975.26,984.06,981.53,848.76,835.34,881.32,853.05,869.88,923.89,803,717.64,538.01
S4,Medium B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,Heavy A,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,Heavy B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,Lights,SB,1646.5,1196.16,1161.45,1352.8,2783.92,6692.8,9152.76,8719.33,7943.25,8123.03,7467.99,7257.06,6751.54,7330.93,4921.7,6591.34,6715.05,6857.45,6624.27,6050.22,5666.63,4912.8,4008.56,2790.15
S4,Medium A,SB,203.5,147.84,143.55,167.2,344.08,827.2,1131.24,1077.67,981.75,1003.97,923.01,896.94,834.46,906.07,608.3,814.66,829.95,847.55,818.73,747.78,700.37,607.2,495.44,344.85
S4,Medium B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,Heavy A,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,Heavy B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,Lights,NB,1302.96,736.92,857.96,784.09,1091.14,2313.11,4064.63,4758.83,4146.51,4265.77,4204.36,4589.73,4733.02,4937.72,5075.67,5569.62,5805.47,5442.35,5368.48,4710.77,3632.09,3147.04,2667.33,2144.9
S5,Medium A,NB,161.04,91.08,106.04,96.91,134.86,285.89,502.37,588.17,512.49,527.23,519.64,567.27,584.98,610.28,627.33,688.38,717.53,672.65,663.52,582.23,448.91,388.96,329.67,265.1
S5,Medium B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,Heavy A,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,Heavy B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,Lights,SB,939.84,775.19,723.57,784.09,1503.21,3482.57,4817.57,3721.98,3239.6,3793.18,4450,4553.24,4780.19,4771.29,4629.78,4857.62,5032.95,4980.44,4744.59,4199.91,3408.7,3057.15,2281.96,1707.91
S5,Medium A,SB,116.16,95.81,89.43,96.91,185.79,430.43,595.43,460.02,400.4,468.82,550,562.76,590.81,589.71,572.22,600.38,622.05,615.56,586.41,519.09,421.3,377.85,282.04,211.09
S5,Medium B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,Heavy A,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,Heavy B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,Lights,NB,1272.7,720.01,837.49,765.4,1065.33,2258.82,3969.4,4646.69,4048.61,4165.2,4105.57,4482.04,4621.77,4821.13,4956.41,5438.79,5669.3,5314.19,5242.1,4599.52,3546.65,3073.17,2604.14,2094.17
S6,Medium A,NB,157.3,88.99,103.51,94.6,131.67,279.18,490.6,574.31,500.39,514.8,507.43,553.96,571.23,595.87,612.59,672.21,700.7,656.81,647.9,568.48,438.35,379.83,321.86,258.83
S6,Medium B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,Heavy A,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,Heavy B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,Lights,SB,917.59,757.39,706.66,765.4,1467.61,3400.69,4704.54,3634.76,3163.06,3704.18,4344.98,4446.44,4668.05,4659.15,4521.2,4743.7,4914.58,4862.96,4633.34,4101.12,3328.6,2985.06,2228.56,1667.86
S6,Medium A,SB,113.41,93.61,87.34,94.6,181.39,420.31,581.46,449.24,390.94,457.82,537.02,549.56,576.95,575.85,558.8,586.3,607.42,601.04,572.66,506.88,411.4,368.94,275.44,206.14
S6,Medium B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,Heavy A,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,Heavy B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,Lights,NB,608.76,447.67,366.68,388.04,518.87,930.05,1357.25,1637.6,1769.32,2050.56,2287.3,2536.5,2857.79,3016.21,3265.41,3716.64,3830.56,3770.04,3339.28,2960.14,2389.65,1776.44,1155.22,886.44
S7,Medium A,NB,75.24,55.33,45.32,47.96,64.13,114.95,167.75,202.4,218.68,253.44,282.7,313.5,353.21,372.79,403.59,459.36,473.44,465.96,412.72,365.86,295.35,219.56,142.78,109.56
S7,Medium B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,Heavy A,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,Heavy B,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,Lights,SB,477.04,418.3,341.76,419.19,816.13,2297.98,3407.81,3462.1,3333.05,2823.08,2578.33,2543.62,2581.89,2649.53,2722.51,2670,2630.84,2537.39,2312.22,2041.66,1914.39,1518.34,1102.71,735.14
S7,Medium A,SB,58.96,51.7,42.24,51.81,100.87,284.02,421.19,427.9,411.95,348.92,318.67,314.38,319.11,327.47,336.49,330,325.16,313.61,285.78,252.34,236.61,187.66,136.29,90.86
S7,Medium B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,Heavy A,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,Heavy B,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
