,SegmentMapped,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,S1,0,0.014280547,0.014280547,0.014280547,0.014280547,0.016553237,0.016553237,0.016553237,0.016553237,0.016553237,0.018036622,0.018036622,0.018036622,0.018036622,0.018036622,0.01693115,0.01693115,0.01693115,0.01693115,0.01693115,0.014705925,0.014705925,0.014705925,0.014705925,0.014705925,0.013360197,0.013360197,0.013360197,0.013360197,0.013360197
1,S2,0,0.0139514,0.0139514,0.0139514,0.0139514,0.016255303,0.016255303,0.016255303,0.016255303,0.016255303,0.01770293,0.01770293,0.01770293,0.01770293,0.01770293,0.016647552,0.016647552,0.016647552,0.016647552,0.016647552,0.01450518,0.01450518,0.01450518,0.01450518,0.01450518,0.013242148,0.013242148,0.013242148,0.013242148,0.013242148
2,S3,0,0.014262778,0.014262778,0.014262778,0.014262778,0.016485379,0.016485379,0.016485379,0.016485379,0.016485379,0.017965324,0.017965324,0.017965324,0.017965324,0.017965324,0.016874132,0.016874132,0.016874132,0.016874132,0.016874132,0.014751265,0.014751265,0.014751265,0.014751265,0.014751265,0.013492203,0.013492203,0.013492203,0.013492203,0.013492203
3,S4,0,0.014321084,0.014321084,0.014321084,0.014321084,0.01651401,0.01651401,0.01651401,0.01651401,0.01651401,0.018120168,0.018120168,0.018120168,0.018120168,0.018120168,0.017004242,0.017004242,0.017004242,0.017004242,0.017004242,0.014981544,0.014981544,0.014981544,0.014981544,0.014981544,0.013747482,0.013747482,0.013747482,0.013747482,0.013747482
4,S5,0,0.014252256,0.014252256,0.014252256,0.014252256,0.016410467,0.016410467,0.016410467,0.016410467,0.016410467,0.018105675,0.018105675,0.018105675,0.018105675,0.018105675,0.017003487,0.017003487,0.017003487,0.017003487,0.017003487,0.015084206,0.015084206,0.015084206,0.015084206,0.015084206,0.013886571,0.013886571,0.013886571,0.013886571,0.013886571
5,S6,0,0.014025231,0.014025231,0.014025231,0.014025231,0.016204133,0.016204133,0.016204133,0.016204133,0.016204133,0.018080116,0.018080116,0.018080116,0.018080116,0.018080116,0.016987771,0.016987771,0.016987771,0.016987771,0.016987771,0.015290125,0.015290125,0.015290125,0.015290125,0.015290125,0.014162055,0.014162055,0.014162055,0.014162055,0.014162055
6,S7,0,0.013925375,0.013925375,0.013925375,0.013925375,0.016081209,0.016081209,0.016081209,0.016081209,0.016081209,0.018020689,0.018020689,0.018020689,0.018020689,0.018020689,0.016938806,0.016938806,0.016938806,0.016938806,0.016938806,0.015272993,0.015272993,0.015272993,0.015272993,0.015272993,0.01415051,0.01415051,0.01415051,0.01415051,0.01415051
7,S8,0,0.013881362,0.013881362,0.013881362,0.013881362,0.016023369,0.016023369,0.016023369,0.016023369,0.016023369,0.018037378,0.018037378,0.018037378,0.018037378,0.018037378,0.016963095,0.016963095,0.016963095,0.016963095,0.016963095,0.01534793,0.01534793,0.01534793,0.01534793,0.01534793,0.014224838,0.014224838,0.014224838,0.014224838,0.014224838
8,S9,0,0.013835837,0.013835837,0.013835837,0.013835837,0.015959658,0.015959658,0.015959658,0.015959658,0.015959658,0.0180068,0.0180068,0.0180068,0.0180068,0.0180068,0.016938366,0.016938366,0.016938366,0.016938366,0.016938366,0.015339071,0.015339071,0.015339071,0.015339071,0.015339071,0.014214214,0.014214214,0.014214214,0.014214214,0.014214214
9,S10,0,0.016112184,0.016112184,0.016112184,0.016112184,0.016112184,0.01817751,0.01817751,0.01817751,0.01817751,0.01817751,0.019850965,0.019850965,0.019850965,0.019850965,0.018446421,0.018446421,0.018446421,0.018446421,0.018446421,0.015974952,0.015974952,0.015974952,0.015974952,0.015974952,0.01432638,0.01432638,0.01432638,0.01432638,0.01432638
10,S11,0,0.015782457,0.015782457,0.015782457,0.015782457,0.017713719,0.017713719,0.017713719,0.017713719,0.017713719,0.01944975,0.01944975,0.01944975,0.01944975,0.01944975,0.018100193,0.018100193,0.018100193,0.018100193,0.018100193,0.015649837,0.015649837,0.015649837,0.015649837,0.015649837,0.013981863,0.013981863,0.013981863,0.013981863,0.013981863
11,S12,0,0.014816201,0.014816201,0.014816201,0.014816201,0.016973631,0.016973631,0.016973631,0.016973631,0.016973631,0.018490071,0.018490071,0.018490071,0.018490071,0.018490071,0.017298952,0.017298952,0.017298952,0.017298952,0.017298952,0.015123038,0.015123038,0.015123038,0.015123038,0.015123038,0.013789182,0.013789182,0.013789182,0.013789182,0.013789182
12,S13,0,0.014611785,0.014611785,0.014611785,0.014611785,0.016605584,0.016605584,0.016605584,0.016605584,0.016605584,0.017985206,0.017985206,0.017985206,0.017985206,0.017985206,0.016931502,0.016931502,0.016931502,0.016931502,0.016931502,0.014699914,0.014699914,0.014699914,0.014699914,0.014699914,0.013429059,0.013429059,0.013429059,0.013429059,0.013429059
