,SegmentMapped,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,S1,0,0.0114,0.0114,0.0114,0.0114,0.0126,0.0126,0.0126,0.0126,0.0126,0.0132,0.0132,0.0132,0.0132,0.0132,0.0121,0.0121,0.0121,0.0121,0.0121,0.0104,0.0104,0.0104,0.0104,0.0104,0.0096,0.0096,0.0096,0.0096,0.0096
1,S2,0,0.0109,0.0109,0.0109,0.0109,0.0121,0.0121,0.0121,0.0121,0.0121,0.0128,0.0128,0.0128,0.0128,0.0128,0.0118,0.0118,0.0118,0.0118,0.0118,0.0103,0.0103,0.0103,0.0103,0.0103,0.0095,0.0095,0.0095,0.0095,0.0095
2,S3,0,0.0108,0.0108,0.0108,0.0108,0.0119,0.0119,0.0119,0.0119,0.0119,0.0127,0.0127,0.0127,0.0127,0.0127,0.0118,0.0118,0.0118,0.0118,0.0118,0.0103,0.0103,0.0103,0.0103,0.0103,0.0096,0.0096,0.0096,0.0096,0.0096
3,S4,0,0.0106,0.0106,0.0106,0.0106,0.0117,0.0117,0.0117,0.0117,0.0117,0.0126,0.0126,0.0126,0.0126,0.0126,0.0117,0.0117,0.0117,0.0117,0.0117,0.0104,0.0104,0.0104,0.0104,0.0104,0.0097,0.0097,0.0097,0.0097,0.0097
4,S5,0,0.0104,0.0104,0.0104,0.0104,0.0115,0.0115,0.0115,0.0115,0.0115,0.0125,0.0125,0.0125,0.0125,0.0125,0.0116,0.0116,0.0116,0.0116,0.0116,0.0104,0.0104,0.0104,0.0104,0.0104,0.0097,0.0097,0.0097,0.0097,0.0097
5,S6,0,0.0101,0.0101,0.0101,0.0101,0.0112,0.0112,0.0112,0.0112,0.0112,0.0124,0.0124,0.0124,0.0124,0.0124,0.0115,0.0115,0.0115,0.0115,0.0115,0.0104,0.0104,0.0104,0.0104,0.0104,0.0098,0.0098,0.0098,0.0098,0.0098
6,S7,0,0.01,0.01,0.01,0.01,0.0111,0.0111,0.0111,0.0111,0.0111,0.0124,0.0124,0.0124,0.0124,0.0124,0.0115,0.0115,0.0115,0.0115,0.0115,0.0104,0.0104,0.0104,0.0104,0.0104,0.0097,0.0097,0.0097,0.0097,0.0097
7,S8,0,0.0101,0.0101,0.0101,0.0101,0.0112,0.0112,0.0112,0.0112,0.0112,0.0124,0.0124,0.0124,0.0124,0.0124,0.0115,0.0115,0.0115,0.0115,0.0115,0.0104,0.0104,0.0104,0.0104,0.0104,0.0098,0.0098,0.0098,0.0098,0.0098
8,S9,0,0.0101,0.0101,0.0101,0.0101,0.0112,0.0112,0.0112,0.0112,0.0112,0.0125,0.0125,0.0125,0.0125,0.0125,0.0115,0.0115,0.0115,0.0115,0.0115,0.0104,0.0104,0.0104,0.0104,0.0104,0.0097,0.0097,0.0097,0.0097,0.0097
9,S10,0,0.013,0.013,0.013,0.013,0.0139,0.0139,0.0139,0.0139,0.0139,0.0145,0.0145,0.0145,0.0145,0.0145,0.0132,0.0132,0.0132,0.0132,0.0132,0.0113,0.0113,0.0113,0.0113,0.0113,0.0103,0.0103,0.0103,0.0103,0.0103
10,S11,0,0.0129,0.0129,0.0129,0.0129,0.0138,0.0138,0.0138,0.0138,0.0138,0.0144,0.0144,0.0144,0.0144,0.0144,0.0131,0.0131,0.0131,0.0131,0.0131,0.0112,0.0112,0.0112,0.0112,0.0112,0.0102,0.0102,0.0102,0.0102,0.0102
11,S12,0,0.0109,0.0109,0.0109,0.0109,0.012,0.012,0.012,0.012,0.012,0.0129,0.0129,0.0129,0.0129,0.0129,0.0119,0.0119,0.0119,0.0119,0.0119,0.0105,0.0105,0.0105,0.0105,0.0105,0.0098,0.0098,0.0098,0.0098,0.0098
12,S13,0,0.0106,0.0106,0.0106,0.0106,0.0116,0.0116,0.0116,0.0116,0.0116,0.0124,0.0124,0.0124,0.0124,0.0124,0.0115,0.0115,0.0115,0.0115,0.0115,0.0102,0.0102,0.0102,0.0102,0.0102,0.0096,0.0096,0.0096,0.0096,0.0096
