,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,VOT Lights,VOT MediumA,VOT MediumB,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0.052631578947368425,1830.0,226.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.15789473684210525,0.15789473684210525,30,4.009,0.708,1830.0,226.0,0.0,0.0,0.0,2056.0,2508.0,1.0,1.2,0.1425,2508.0,0.0,1.0,0.0,1738.5,214.7,0.0,0.0,0.0,1953.1999999999998,5.999773387401021,29.998866937005104,29.998866937005104,0.052631780194845594,0.05263164076290836,0.05263160075151645,4639.253583755407,23196.267918777034,23196.267918777034,64.99842078598522,69.99999199693625,0.0,2.571428865418702,2.7692980509891267,-0.19786918557042465,9.217600894934342e-05,91.50034986873906,1738.499650131261,11.300013271796425,214.69998672820358,0.0,0.0,102.8003631405355,1953.1996368594646,15625.597094875717,125.40038968412834,0.06966688315784908,1003.2031174730267,3009.60935241908,2382.599610315872,19060.796882526975,57182.39064758092,2508.0,20064.0,60192.0,0.17914285714285713,17.999320162203063,89.99660081101531,89.99660081101531,8.637799823658582,2663.9068758220674,1646.9440922410295,1016.9627835810379,0.0,21311.25500657654,13175.552737928236,8135.702268648303,0.0,732.0027989499125,90.4001061743714,0.0,822.402905124284,2196.0083968497374,271.2003185231142,0.0,16448.0,-0.0714510254682592,1819.3151308844733
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,3467.0,429.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,3.82,0.715,3467.0,429.0,0.0,0.0,0.0,3896.0,4754.0,1.0,1.2,0.2701136363636364,4754.0,0.0,1.0,0.0,3293.6499999999996,407.54999999999995,0.0,0.0,0.0,3701.2,19.999851858506094,99.99925929253047,99.99925929253047,0.009880961091656688,0.006113352135531078,3.380655621464824e-05,15160.569462763155,75802.84731381577,75802.84731381577,64.9054112026458,69.99999999154615,1.5095049721312257,2.571428571739121,2.7732664606038657,-0.20183788886474474,0.005528897181142005,32.54442749953505,3434.4555725004648,2.491496662835691,426.5085033371643,0.0,0.0,35.03592416237074,3860.964075837629,3860.964075837629,40.01891748804212,0.02223273193780118,40.01891748804212,120.05675246412636,4713.9810825119575,4713.9810825119575,14141.943247535874,4754.0,4754.0,14262.0,0.3395714285714286,59.999555575518286,299.9977778775914,299.9977778775914,25.68882000808258,2700.09464887192,1952.6511864317786,747.4434624401417,0.0,2700.09464887192,1952.6511864317786,747.4434624401417,0.0,32.54442749953505,2.491496662835691,0.0,35.03592416237074,97.63328249860514,7.474489988507073,0.0,3896.0,-0.07277983985022322,5945.321357946335
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,4855.0,600.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,3.82,0.715,4855.0,600.0,0.0,0.0,0.0,5455.0,6655.0,1.0,1.2,0.378125,6655.0,0.0,1.0,0.0,4612.25,570.0,0.0,0.0,0.0,5182.25,19.999978140958646,99.99989070479323,99.99989070479323,0.01383674001944552,0.008550004769832469,1.5744461560049553e-05,13447.057381649058,67235.2869082453,67235.2869082453,64.30897070983733,69.99999952064672,3.1963284540132744,2.5714285890374673,2.798987419844763,-0.22755883080729555,0.04076661134117086,63.8185041546876,4791.181495845312,4.873502718804507,595.1264972811955,0.0,0.0,68.6920068734921,5386.307993126507,10772.615986253015,78.43901231110112,0.043577229061722844,156.87802462220225,470.63407386660674,6576.560987688899,13153.121975377799,39459.365926133396,6655.0,13310.0,39930.0,0.47535714285714287,59.99993442287594,299.9996721143797,299.9996721143797,25.67574464028367,5291.155281937182,3829.1060642472917,1462.04921768989,0.0,10582.310563874364,7658.212128494583,2924.09843537978,0.0,127.6370083093752,9.747005437609014,0.0,137.3840137469842,382.9110249281256,29.241016312827043,0.0,10910.0,-0.08130041213972887,5273.355835940807
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,4132.0,511.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,3.82,0.715,4132.0,511.0,0.0,0.0,0.0,4643.0,5665.0,1.0,1.2,0.321875,5665.0,0.0,1.0,0.0,3925.3999999999996,485.45,0.0,0.0,0.0,4410.849999999999,19.99997919742145,99.99989598710725,99.99989598710725,0.01177619520598973,0.00728176065745376,1.4359799713081117e-05,14624.017818699622,73120.08909349811,73120.08909349811,64.73252643510332,69.99999993066093,1.7712512596262506,2.5714285739757208,2.780673177964967,-0.20924460398924616,0.015676099965850638,46.22627666159208,4085.7737233384078,3.5349307111609276,507.46506928883906,0.0,0.0,49.761207372753006,4593.238792627247,4593.238792627247,56.83106879507486,0.03157281599726381,56.83106879507486,170.4932063852246,5608.168931204925,5608.168931204925,16824.506793614775,5665.0,5665.0,16995.0,0.40464285714285714,59.999937592264345,299.99968796132174,299.99968796132174,25.68300373964798,3834.051825131442,2773.5737148182707,1060.4781103131713,0.0,3834.051825131442,2773.5737148182707,1060.4781103131713,0.0,46.22627666159208,3.5349307111609276,0.0,49.761207372753006,138.67882998477626,10.604792133482782,0.0,4643.0,-0.0752496214396478,5734.908948509656
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,5636.0,697.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,3.823,0.708,5636.0,697.0,0.0,0.0,0.0,6333.0,7727.0,1.0,1.2,0.4390340909090909,7727.0,0.0,1.0,0.0,5354.2,662.15,0.0,0.0,0.0,6016.349999999999,19.999966061257155,99.99983030628577,99.99983030628577,0.016062575632596676,0.009932244281987176,1.6596452490539512e-05,11338.68725379144,56693.43626895721,56693.43626895721,63.35126658596208,69.99999712455312,2.3310537226905064,2.5714286770572365,2.841300730045482,-0.26987205298824524,0.0987358463161558,86.00224245204912,5549.997757547951,6.576635551317809,690.4233644486822,0.0,0.0,92.57887800336692,6240.421121996633,31202.105609983162,105.73214910600254,0.058740082836668074,528.6607455300127,1585.9822365900382,7621.267850893997,38106.33925446999,114319.01776340997,7727.0,38635.0,115905.0,0.5519285714285714,59.999898183771464,299.9994909188573,299.9994909188573,25.683011294051177,7133.113108053176,5160.125790698975,1972.987317354201,0.0,35665.56554026588,25800.628953494874,9864.936586771004,0.0,430.0112122602456,32.88317775658904,0.0,462.8943900168346,1290.0336367807367,98.64953326976712,0.0,31665.0,-0.09498186873866227,4446.544021094683
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,7121.0,880.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,4.005,0.592,7121.0,880.0,0.0,0.0,0.0,8001.0,9761.0,1.0,1.2,0.5546022727272727,9761.0,0.0,1.0,0.0,6764.95,836.0,0.0,0.0,0.0,7600.95,19.99999971908166,99.9999985954083,99.9999985954083,0.020294842606069282,0.01253999294501421,2.8414208116083177e-06,6318.470012701525,31592.350063507623,31592.350063507623,58.90582881527407,69.9999524849518,2.838789793305604,2.571430316880506,3.055724766465329,-0.48429444958482293,0.3924967762113463,137.2935954879284,6983.7064045120715,10.48343410203188,869.5165658979681,0.0,0.0,147.77702958996028,7853.222970410039,7853.222970410039,168.74389779402404,0.0937466098855689,168.74389779402404,506.2316933820721,9592.256102205976,9592.256102205976,28776.76830661793,9761.0,9761.0,29283.000000000004,0.6972142857142857,59.999999157244986,299.9999957862249,299.9999957862249,25.675270894241166,11382.645800005568,8237.615613570839,3145.0301864347302,0.0,11382.645800005568,8237.615613570839,3145.0301864347302,0.0,137.2935954879284,10.48343410203188,0.0,147.77702958996028,411.88078646378517,31.450302306095644,0.0,8001.0,-0.15848758857461642,2477.83137753001
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,6508.0,804.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,4.005,0.592,6508.0,804.0,0.0,0.0,0.0,7312.0,8920.0,1.0,1.2,0.5068181818181818,8920.0,0.0,1.0,0.0,6182.599999999999,763.8,0.0,0.0,0.0,6946.4,19.99999966361122,99.9999983180561,99.9999983180561,0.018547792617939932,0.011456992990090913,2.8413883336769982e-06,8356.57423478369,41782.87117391845,41782.87117391845,61.274344633572106,69.99998387824999,4.115883049178786,2.571429163656259,2.937607918557456,-0.3661787549011972,0.23067669457756096,114.67358263967542,6393.326417360325,8.75085124583144,795.2491487541686,0.0,0.0,123.42443388550686,7188.575566114493,21565.72669834348,140.92613637716974,0.07829229798731652,422.7784091315092,1268.3352273945275,8779.07386362283,26337.221590868492,79011.66477260548,8920.0,26760.0,80280.0,0.6371428571428571,59.99999899083366,299.9999949541683,299.9999949541683,25.67203773462374,9505.670172249915,6880.414842655805,2625.2553295941093,0.0,28517.010516749746,20641.244527967414,7875.765988782328,0.0,344.02074791902623,26.252553737494317,0.0,370.2733016565206,1032.0622437570787,78.75766121248296,0.0,21936.0,-0.12465201791837939,3277.08793520929
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,5882.0,727.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,4.005,0.592,5882.0,727.0,0.0,0.0,0.0,6609.0,8063.0,1.0,1.2,0.458125,8063.0,0.0,1.0,0.0,5587.9,690.65,0.0,0.0,0.0,6278.549999999999,19.999997942203333,99.99998971101667,99.99998971101667,0.01676369278461649,0.010359745033090664,6.368983091616388e-06,10533.388799345421,52666.9439967271,52666.9439967271,62.89454277205806,69.99999520497147,2.4179444457918025,2.571428747572489,2.861933517067684,-0.290504769495195,0.12700276453657294,93.67383891115848,5788.326161088841,7.154957907104067,719.8450420928959,0.0,0.0,100.82879681826255,6508.171203181737,19524.51360954521,115.13871263247069,0.06396595146248371,345.41613789741206,1036.2484136922362,7947.861287367529,23843.583862102587,71530.75158630776,8063.0,24189.0,72567.0,0.5759285714285715,59.999993826609995,299.99996913305,299.99996913305,25.67691358274439,7766.916907663861,5620.429756384368,2146.487151279492,0.0,23300.750722991583,16861.289269153105,6439.461453838476,0.0,281.02151673347544,21.464873721312202,0.0,302.4863904547876,843.0645502004263,64.3946211639366,0.0,19827.0,-0.10150647028056894,4130.740705625655
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0.052631578947368425,1785.0,221.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.15789473684210525,0.15789473684210525,30,4.009,0.708,1785.0,221.0,0.0,0.0,0.0,2006.0,2448.0,1.0,1.2,0.1390909090909091,2448.0,0.0,1.0,0.0,1695.75,209.95,0.0,0.0,0.0,1905.6999999999998,5.999771328196205,29.998856640981025,29.998856640981025,0.052631776370544996,0.05263164192131408,0.05263160036491906,4639.464384938602,23197.32192469301,23197.32192469301,64.99863433018372,69.99999307914986,0.0,2.571428825663908,2.76928895283593,-0.19786012717202217,7.971153906977288e-05,89.25033478035168,1695.7496652196483,11.05001322137989,209.94998677862012,0.0,0.0,100.30034800173156,1905.6996519982683,15245.597215986147,122.40037444449135,0.06800020802471742,979.2029955559308,2937.608986667792,2325.5996255555087,18604.79700444407,55814.391013332206,2448.0,19584.0,58752.0,0.17485714285714285,17.999313984588618,89.99656992294308,89.99656992294308,8.643732344191067,2600.9080864685607,1606.4447989412,994.4632875273609,0.0,20807.264691748485,12851.5583915296,7955.706300218887,0.0,714.0026782428134,88.40010577103912,0.0,802.4027840138525,2142.00803472844,265.20031731311735,0.0,16048.0,-0.07144798919209953,1819.397798015138
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,7354.0,909.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,3.82,0.715,7354.0,909.0,0.0,0.0,0.0,8263.0,10081.0,1.0,1.2,0.5727840909090909,10081.0,0.0,1.0,0.0,6986.299999999999,863.55,0.0,0.0,0.0,7849.849999999999,19.999979766225252,99.99989883112626,99.99989883112626,0.020958878860034204,0.012953243066030639,1.677328353070961e-05,5622.172197671044,28110.860988355216,28110.860988355216,57.77185123293341,69.99993004127923,2.9146817360845456,2.5714311413433313,3.1157042081661603,-0.544273066822829,0.47466861134148564,146.42501537985694,7207.574984620143,11.185773049670757,897.8142269503293,0.0,0.0,157.6107884295277,8105.389211570473,8105.389211570473,179.98233452886922,0.09999018584937179,179.98233452886922,539.9470035866077,9901.017665471132,9901.017665471132,29703.052996413397,10081.000000000002,10081.000000000002,30243.000000000004,0.7200714285714287,59.999939298675756,299.9996964933788,299.9996964933788,25.677642745825974,12141.220554544125,8785.492034599081,3355.7285199450434,0.0,12141.220554544125,8785.492034599081,3355.7285199450434,0.0,146.42501537985694,11.185773049670757,0.0,157.6107884295277,439.2750461395708,33.55731914901227,0.0,8263.0,-0.17468701470322726,2204.7734108513896
